City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census)
Melitopol,??????????,Zaporizhia Oblast,R,"160,657"
Kerch,????,Crimea,R,"157,007"
Nikopol,????????,Dnipropetrovsk Oblast,R,"136,280"
Sloviansk,????'?????,Donetsk Oblast,R,"124,829"
Berdiansk,?????????,Zaporizhia Oblast,R,"121,692"
Sieverodonetsk,?????????????,Luhansk Oblast,R,"119,940"
Alchevsk,????????,Luhansk Oblast,R,"119,193"
Pavlohrad,?????????,Dnipropetrovsk Oblast,R,"118,816"
Uzhhorod,???????,Zakarpattia Oblast,R,"117,317"
Lysychansk,??????????,Luhansk Oblast,R,"115,229"
Yevpatoria,?????????,Crimea,R,"105,915"
Yenakiieve,????????,Donetsk Oblast,R,"103,997"
Kamianets-Podilskyi,???'?????-???????????,Khmelnytskyi Oblast,R,"99,610"
Kostiantynivka,?????????????,Donetsk Oblast,O,"95,111"
Krasnyi Luch,??????? ???,Luhansk Oblast,O,"94,875"
Oleksandriia,???????????,Kirovohrad Oblast,O,"93,357"
Konotop,???????,Sumy Oblast,O,"92,657"
Stakhanov,????????,Luhansk Oblast,O,"90,152"
Uman,?????,Cherkasy Oblast,O,"88,735"
Berdychiv,????????,Zhytomyr Oblast,O,"87,575"
Shostka,??????,Sumy Oblast,O,"87,130"
Brovary,???????,Kiev Oblast,O,"86,839"
Izmail,??????,Odessa Oblast,O,"84,815"
Artemivsk,??????????,Donetsk Oblast,O,"82,916"
Mukachevo,????????,Zakarpattia Oblast,O,"82,346"
Yalta,????,Crimea,O,"81,654"
Drohobych,????????,Lviv Oblast,O,"79,119"
Nizhyn,?????,Chernihiv Oblast,O,"76,625"
Feodosiya,????????,Crimea,O,"74,669"
Sverdlovsk,???????????,Luhansk Oblast,O,"72,531"
Novomoskovsk,?????????????,Dnipropetrovsk Oblast,O,"72,439"
Torez,?????,Donetsk Oblast,O,"72,346"
Chervonohrad,???????????,Lviv Oblast,O,"70,568"
Pervomaisk,???????????,Mykolaiv Oblast,O,"70,170"
Smila,?????,Cherkasy Oblast,O,"69,681"
Krasnoarmiysk,??????????????,Donetsk Oblast,O,"69,154"
Kalush,?????,Ivano-Frankivsk Oblast,O,"67,902"
Korosten,?????????,Zhytomyr Oblast,O,"66,669"
Kovel,??????,Volyn Oblast,O,"66,401"
Rubizhne,???????,Luhansk Oblast,O,"65,322"
Pryluky,???????,Chernihiv Oblast,O,"64,861"
Druzhkivka,?????????,Donetsk Oblast,O,"64,557"
Khartsyzk,????????,Donetsk Oblast,O,"64,175"
Lozova,??????,Kharkiv Oblast,O,"64,041"
